price,bedrooms,per_month
1000000.0,3.0,6959.0
529000.0,2.0,4010.0
530000.0,2.0,4376.0
430000.0,2.0,2993.0
525000.0,2.0,3854.0
849900.0,4.0,5624.0
650000.0,3.0,4275.0
965000.0,3.0,6141.0
1799000.0,6.0,11643.0
765000.0,3.0,5207.0
499999.0,2.0,3595.0
345000.0,4.0,2321.0
399000.0,2.0,2585.0
1100000.0,4.0,7000.0
879000.0,3.0,5433.0
325000.0,2.0,2107.0
2000000.0,5.0,13514.0
180000.0,2.0,1135.0
699900.0,4.0,4541.0
1995000.0,9.0,12912.0
785000.0,3.0,4762.0
550000.0,2.0,3609.0
329000.0,5.0,2166.0
380000.0,2.0,2482.0
274990.0,2.0,1803.0
325000.0,2.0,2149.0
435000.0,2.0,3139.0
1700000.0,4.0,11066.0
425000.0,2.0,2930.0
1350000.0,3.0,8737.0
565000.0,2.0,4016.0
1150000.0,3.0,8231.0
350000.0,7.0,2286.0
700000.0,3.0,4850.0
1500000.0,3.0,9708.0
155000.0,3.0,1065.0
320000.0,1.0,3037.0
275000.0,5.0,1663.0
795000.0,5.0,5037.0
750000.0,2.0,5727.0
325000.0,4.0,1995.0
1150000.0,5.0,6352.0
250000.0,8.0,1652.0
475000.0,2.0,4458.0
2200000.0,3.0,16434.0
950000.0,3.0,7159.0
775000.0,3.0,5083.0
