id,adult,title,video,overview,softcore,genre_ids,popularity,vote_count,poster_path,release_date,vote_average,backdrop_path,original_title,original_language
255709,False,Hope,False,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",False,[18],13.4094,854,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,2013-10-02,8.396,/4Nx40jwpoTHPjCWNGoaZ6kaoGxa.jpg,소원,ko
324857,False,Spider-Man: Into the Spider-Verse,False,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",False,"[16, 28, 12, 878]",22.4625,17210,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,8.393,/8mnXR9rey5uQ08rZAvzojKWbDQS.jpg,Spider-Man: Into the Spider-Verse,en
1891,False,The Empire Strikes Back,False,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",False,"[12, 28, 878]",15.7773,18394,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980-05-20,8.393,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg,The Empire Strikes Back,en
4935,False,Howl's Moving Castle,False,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",False,"[14, 16, 12]",21.7196,11068,/13kOl2v0nD2OLbVSHnHk8GUFEhO.jpg,2004-09-09,8.4,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,ハウルの動く城,ja
378064,False,A Silent Voice: The Movie,False,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",False,"[16, 18, 10749]",14.0369,4484,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,2016-09-17,8.4,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg,映画 聲の形,ja
807,False,Se7en,False,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",False,"[80, 9648, 53]",26.6963,23072,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,1995-09-22,8.382,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg,Se7en,en
311,False,Once Upon a Time in America,False,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",False,"[18, 80]",17.8671,6027,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,1984-05-23,8.381,/xlDUjb0Q5Dv6jPQRF5VE4IMjIy.jpg,Once Upon a Time in America,en
696374,False,Gabriel's Inferno,False,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",False,"[10749, 18]",4.3731,2465,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,2020-05-29,8.382,/nIkcTtuhmkl1GZO2LfZi7SwFz7F.jpg,Gabriel's Inferno,en
770156,False,Lucy Shimmers and the Prince of Peace,False,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,False,"[18, 10751]",8.0916,362,/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg,2020-10-19,8.38,/7jS69IM8bK7ooOWGFmM9G6JcenO.jpg,Lucy Shimmers and the Prince of Peace,en
244786,False,Whiplash,False,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",False,"[18, 10402, 53]",23.0823,16612,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,2014-10-10,8.375,/wbQa0EnWUyRzQ5d1pHLNRlmsCUP.jpg,Whiplash,en
