id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.067314,3016746356,35,6644100459,9529287.0,0.068702,0.066978,-0.001158651885039705,-1.69213,-50392529.92147541,-1.64298,44798876055.19909,98665316164.73158,100000000000.0,0.891544,-92.44765,2021-11-24T00:00:00.000Z,0.0121196,455.56716,2019-02-08T00:00:00.000Z,,2026-05-27T12:41:49.072Z,,,
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.12,2995403334,36,2995403334,112456.0,1.12,1.12,-0.000223222292734304,-0.01985,-594581.2646074295,-0.01985,2663628517.21609,2663628517.21609,,1.13,-0.15247,2026-05-23T10:51:06.414Z,1.026,9.59501,2024-12-05T22:31:20.475Z,,2026-05-26T22:38:11.148Z,,,
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.999609,2710099509,37,2710099509,76314468.0,1.0,0.999252,-0.000354057454451606,-0.03541,-33513626.218867302,-1.22151,2710877134.733708,2710877134.733708,,1.65,-39.58228,2025-01-30T00:11:05.728Z,0.907561,10.14361,2024-11-11T23:55:50.604Z,,2026-05-27T12:41:47.477Z,,,
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,280.18,2688546217,38,5882732327,240978180.0,290.42,271.62,-5.204998471528484,-1.82386,-49492537.78381109,-1.80759,9597491.0,21000000.0,21000000.0,757.6,-63.02518,2024-03-07T18:45:36.466Z,30.83,808.60643,2023-05-14T08:57:53.732Z,,2026-05-27T12:41:49.336Z,,,
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/logo.png?1774627372,4442.32,2633666347,39,3144222840,292107140.0,4512.51,4424.61,-49.51608819473495,-1.10236,-29176117.610598564,-1.09568,592823.659532,707747.089,,5504.62,-19.29355,2026-01-29T00:00:00.000Z,1447.84,206.84165,2020-03-19T13:45:41.821Z,,2026-05-27T12:41:56.993Z,,,
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2487654577,40,2487654577,0.0,1.0,1.0,0.0,0.0,-24123976.109999657,-0.96043,2487654576.750449,2487654576.750449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2026-05-27T12:40:12.127Z,,,
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.jpg?1766533446,1.27,2140632772,41,2140632772,190276745.0,1.3,1.24,-0.006247888328708484,-0.48957,-7231008.968299627,-0.33666,1685766802.555003,1685766802.555003,2100000000.0,54.98,-97.69061,2021-11-04T14:10:09.301Z,1.15,10.53466,2026-04-15T08:00:42.788Z,,2026-05-27T12:41:53.336Z,,,
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,1.13,2134448519,42,2134448519,1335727.0,1.14,1.12,0.00144907,0.12841,2240046.0,0.10506,1889087506.23693,1889087506.23693,,1.26,-10.36083,2024-03-27T05:24:08.110Z,0.934184,21.195,2024-01-14T11:40:50.825Z,,2026-05-27T12:41:55.575Z,,,
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/MNT_Token_Logo.png?1765516974,0.638115,2107244224,43,3968640550,25750649.0,0.648254,0.633013,-0.007283966619777815,-1.1286,-24360718.25391245,-1.14283,3302294382.53684,6219316794.889999,6219316794.89,2.86,-77.65173,2025-10-09T01:04:46.659Z,0.307978,107.17605,2023-10-18T02:50:46.942Z,,2026-05-27T12:41:45.822Z,,,
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.29,2092710615,45,2947560687,137609019.0,3.37,3.23,-0.043835554795278675,-1.31373,-27203874.24765706,-1.28325,635597562.7428479,895232420.0329479,1000000000.0,44.92,-92.67173,2021-05-03T05:25:04.822Z,1.03,219.53112,2020-09-17T01:20:38.214Z,,2026-05-27T12:41:44.409Z,,,
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4447.59,2091740057,44,2091740057,199475481.0,4519.7,4430.58,-52.83567724748991,-1.17401,-25119491.403324127,-1.18664,470301.37,470301.37,,5619.09,-20.84918,2026-01-29T06:30:56.612Z,1399.64,217.76394,2019-11-18T03:09:35.959Z,,2026-05-27T12:41:49.242Z,,,
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.404021,1967805298,46,4041223405,223845135.0,0.427242,0.395274,-0.014226583559347417,-3.40148,-72651468.50376415,-3.56055,4869330647.0,10000000000.0,10000000000.0,2.14,-81.12191,2024-12-16T00:36:00.777Z,0.082171,391.68287,2024-01-18T12:14:30.524Z,,2026-05-27T12:41:48.514Z,,,
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,90.34,1895049081,47,1895049081,78707086.0,98.63,87.53,-5.644350061417754,-5.8803,-112165279.82330012,-5.58811,21000000.0,21000000.0,21000000.0,228.74,-60.51751,2025-10-05T00:00:00.000Z,0.580608,15454.73082,2019-01-14T00:00:00.000Z,,2026-05-27T12:41:46.802Z,,,
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.059546,1890312842,48,5949348888,85978095.0,0.061863,0.054164,-0.001744787181487191,-2.84675,-53826684.69500065,-2.76866,31773440712.0,100000000000.0,100000000000.0,0.331336,-82.0286,2025-09-01T12:20:09.597Z,0.051632,15.32634,2026-05-02T06:24:04.639Z,,2026-05-27T12:41:57.504Z,,,
htx-dao,htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,1.98e-06,1791864664,49,1791864664,17638657.0,2.05e-06,1.98e-06,-7.2203503172e-08,-3.52178,-65007551.51301718,-3.50092,905707664073577.8,905707664073577.8,999990000000000.0,3.75e-06,-47.18062,2024-12-04T00:16:20.770Z,8.00816e-07,147.43725,2024-08-05T13:31:33.427Z,,2026-05-27T12:41:46.107Z,,,
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.691246,1782723493,50,5405144784,77799833.0,0.695199,0.678216,0.00538939,0.78579,13355831.0,0.75484,2579922243.4698935,7822218820.515041,8000000000.0,2.41,-71.30256,2025-09-24T11:18:14.634Z,0.099713,593.23184,2025-09-17T12:05:36.771Z,,2026-05-27T12:41:48.752Z,,,
