damage,alignment,num_units,street_no,crash_hour,crash_type,crash_month,report_type,road_defect,street_name,hit_and_run_i,injuries_fatal,injuries_total,work_zone_type,trafficway_type,device_condition,first_crash_type,injuries_unknown,street_direction,crash_day_of_week,weather_condition,beat_of_occurrence,lighting_condition,most_severe_injury,posted_speed_limit,roadway_surface_cond,injuries_no_indication,intersection_related_i,sec_contributory_cause,traffic_control_device,injuries_incapacitating,prim_contributory_cause,injuries_non_incapacitating,injuries_reported_not_evident
0,3,2.0,257,11,1,9,1,1,387,1,0.0,0.0,,8,2,7,0.0,1,5,1,1113,3,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,505,13,0,9,1,1,555,1,0.0,2.0,,13,1,16,0.0,2,3,1,1135,3,4,30,0,1.0,1,16,14,0.0,18,0.0,2.0
1,4,2.0,1,14,1,12,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,3,9,1651,3,2,30,5,3.0,1,34,3,0.0,33,0.0,0.0
0,3,2.0,502,12,0,1,2,1,501,1,0.0,3.0,,8,2,7,0.0,3,4,1,1653,3,3,20,2,0.0,1,10,3,0.0,12,2.0,1.0
0,3,2.0,173,4,1,12,2,5,155,1,0.0,0.0,,3,1,10,0.0,1,3,1,1654,1,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,3500,16,1,12,1,1,585,1,0.0,0.0,,8,1,10,0.0,2,2,1,911,1,2,30,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,199,17,1,12,2,5,150,1,0.0,0.0,,8,5,16,0.0,0,4,6,1824,1,2,30,5,2.0,1,16,15,0.0,19,0.0,0.0
1,3,2.0,5,21,1,12,1,1,600,1,0.0,0.0,,10,2,7,0.0,3,4,1,1655,1,2,10,0,2.0,1,24,3,0.0,25,0.0,0.0
0,3,1.0,524,4,1,11,2,1,501,1,0.0,0.0,,12,2,5,0.0,3,3,1,1654,1,2,30,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,8801,10,0,9,2,1,200,1,0.0,0.0,,3,2,10,0.0,2,3,1,423,3,2,5,0,2.0,1,24,3,0.0,19,0.0,0.0
2,2,2.0,8801,7,1,12,2,1,200,1,0.0,0.0,,3,1,15,0.0,2,4,2,423,3,2,35,0,2.0,1,31,7,0.0,22,0.0,0.0
1,0,2.0,1732,14,0,9,1,1,389,1,0.0,1.0,,11,1,16,0.0,1,7,1,1814,3,1,30,0,3.0,1,10,14,1.0,18,0.0,0.0
2,3,1.0,6298,23,0,9,2,1,394,1,0.0,2.0,,6,1,2,0.0,2,6,1,331,1,1,30,0,0.0,1,25,14,2.0,26,0.0,0.0
2,3,2.0,2,23,1,9,2,5,205,1,0.0,0.0,,15,1,16,0.0,3,6,1,1654,1,2,40,0,2.0,1,24,14,0.0,6,0.0,0.0
2,3,1.0,93,6,1,10,1,1,155,1,0.0,0.0,,12,2,2,0.0,1,4,1,1654,3,2,25,0,1.0,1,10,3,0.0,19,0.0,0.0
1,3,2.0,342,14,1,10,1,1,429,1,0.0,0.0,,2,1,16,0.0,1,6,1,114,3,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
1,3,2.0,1756,22,1,10,1,5,192,1,0.0,0.0,,15,5,16,0.0,2,7,10,1014,1,2,30,4,2.0,1,24,15,0.0,33,0.0,0.0
1,3,2.0,4331,16,1,10,2,1,442,1,0.0,0.0,,3,2,16,0.0,1,3,1,1654,3,2,45,0,2.0,1,24,3,0.0,22,0.0,0.0
2,3,3.0,1933,23,1,9,1,5,182,1,0.0,0.0,,8,2,15,0.0,2,6,1,1235,1,2,30,4,4.0,1,21,3,0.0,18,0.0,0.0
1,3,2.0,13000,5,1,11,2,1,590,1,0.0,0.0,,8,1,10,0.0,2,7,1,434,2,2,35,0,2.0,1,24,14,0.0,25,0.0,0.0
2,3,1.0,9900,1,0,12,2,1,201,1,0.0,0.0,,11,2,2,0.0,2,1,1,432,1,2,45,0,2.0,1,20,3,0.0,23,0.0,0.0
2,3,2.0,1798,17,1,12,1,1,368,1,0.0,0.0,,3,1,16,0.0,2,4,1,1022,1,2,30,0,2.0,1,24,14,0.0,24,0.0,0.0
