price,address,bedrooms,per_month
"$399,900","6219 W Montrose Ave , Chicago, IL 60634",3.0,"$2,743 per month"
"$549,000","1726 W Diversey Pkwy Unit 2E , Chicago, IL 60614",2.0,"$3,970 per month"
"$464,900","222 N Columbus Dr #3709 , Chicago, IL 60601",2.0,"$4,342 per month"
"$874,900","1317 N Larrabee St #402 , Chicago, IL 60610",3.0,"$6,426 per month"
"$165,000","5455 N Sheridan Rd #509 , Chicago, IL 60640",3.0,"$1,590 per month"
"$475,000","474 N Lake Shore Dr #2605 , Chicago, IL 60611",2.0,"$4,506 per month"
"$150,000","6325 N Sheridan Rd #707 , Chicago, IL 60660",1.0,"$1,078 per month"
"$299,000","155 N Harbor Dr #4305 , Chicago, IL 60601",1.0,"$2,932 per month"
"$484,900","200 W Grand Ave #806 , Chicago, IL 60654",2.0,"$4,310 per month"
"$1,989,000","2006 N Mohawk St #1 , Chicago, IL 60614",4.0,"$12,785 per month"
"$775,000","945 N Honore St #3 , Chicago, IL 60622",3.0,"$5,609 per month"
"$490,000","1140 E Hyde Park Blvd Unit 3D , Chicago, IL 60615",4.0,"$4,093 per month"
"$525,000","340 W Superior St #1401 , Chicago, IL 60654",2.0,"$4,554 per month"
"$785,000","1041 N Leavitt St #2 , Chicago, IL 60622",2.0,"$5,320 per month"
"$350,000","5445 N Sheridan Rd #802 , Chicago, IL 60640",2.0,"$3,263 per month"
"$226,000","2323 W Pershing Rd #228 , Chicago, IL 60609",2.0,"$2,259 per month"
"$225,000","512 N Mcclurg Ct #3809 , Chicago, IL 60611",3.0,"$2,072 per month"
"$390,000","4027 N Southport Ave #2 , Chicago, IL 60613",2.0,"$3,022 per month"
"$445,000","4704 N Kenmore Ave Unit 3C , Chicago, IL 60640",2.0,"$2,753 per month"
"$1,100,000","3428 N Kilbourn Ave , Chicago, IL 60641",4.0,"$6,927 per month"
"$595,000","4341 N Mozart St #1 , Chicago, IL 60618",3.0,"$4,020 per month"
"$775,000","812 W Van Buren St Unit 5A , Chicago, IL 60607",3.0,"$6,075 per month"
"$850,000","4405 N Richmond St #205 , Chicago, IL 60625",3.0,"$6,317 per month"
"$430,000","2842 N 74th Ct , Elmwood Park, IL 60707",7.0,"$3,185 per month"
"$849,000","4839 N Damen Ave Unit 3N , Chicago, IL 60625",3.0,"$6,352 per month"
"$600,000","5054 S Woodlawn Ave Unit 3C , Chicago, IL 60615",4.0,"$5,258 per month"
"$650,000","4535 N Spaulding Ave , Chicago, IL 60625",7.0,"$4,418 per month"
"$849,900","5400 N Lowell Ave , Chicago, IL 60630",3.0,"$5,658 per month"
"$700,000","1543 W Montana St #3 , Chicago, IL 60614",2.0,"$4,709 per month"
"$2,400,000","2648 N Mildred Ave , Chicago, IL 60614",5.0,"$15,373 per month"
"$550,000","1043 N Winchester Ave #2 , Chicago, IL 60622",2.0,"$3,595 per month"
"$499,900","2127 W Rice St Unit 3E , Chicago, IL 60622",2.0,"$3,283 per month"
"$500,000","110 N Peoria St #208 , Chicago, IL 60607",2.0,"$3,437 per month"
"$1,950,000","1025 W Altgeld St , Chicago, IL 60614",5.0,"$12,637 per month"
"$1,399,000","1900 W Oakdale Ave , Chicago, IL 60657",8.0,"$9,131 per month"
"$1,450,000","2147 W Thomas St , Chicago, IL 60622",5.0,"$9,216 per month"
"$1,695,000","2042 N Honore St , Chicago, IL 60614",5.0,"$11,770 per month"
"$429,000","5009 W Ainslie St , Chicago, IL 60630",3.0,"$2,848 per month"
"$1,300,000","4320 N Whipple St , Chicago, IL 60618",4.0,"$8,524 per month"
"$725,000","3427 S Emerald Ave , Chicago, IL 60616",5.0,"$4,824 per month"
"$589,000","3846 N Troy St , Chicago, IL 60618",4.0,"$4,077 per month"
"$624,900","2477 W Montrose Ave , Chicago, IL 60618",2.0,"$4,231 per month"
"$275,000","444 W Fullerton Pkwy #1201 , Chicago, IL 60614",2.0,"$1,948 per month"
