wins,goals_for,team_name,win_percent,goals_against,goal_difference
0.4565217391304348,0.6721311475409837,1,0.47275922671353254,0.6153846153846154,
0.4565217391304348,0.7008196721311475,2,0.47275922671353254,0.6354515050167224,
0.5652173913043478,0.540983606557377,3,0.5817223198594025,0.4046822742474917,
0.717391304347826,0.7991803278688525,5,0.7346221441124782,0.47157190635451507,
0.5652173913043478,0.6967213114754098,6,0.5817223198594025,0.6086956521739131,
0.34782608695652173,0.5,8,0.3620386643233744,0.5618729096989967,
0.5434782608695652,0.6639344262295082,9,0.5606326889279438,0.6053511705685619,
0.4782608695652174,0.49590163934426235,11,0.4938488576449913,0.5451505016722408,
0.6739130434782609,0.5819672131147542,12,0.6906854130052725,0.3076923076923077,
0.6086956521739131,0.6721311475409837,13,0.6256590509666081,0.4816053511705686,
0.5652173913043478,0.6024590163934427,11,0.5448154657293498,0.5953177257525084,
0.8260869565217391,0.8237704918032787,12,0.7943760984182776,0.5518394648829431,
0.6521739130434783,0.75,13,0.6274165202108963,0.6153846153846154,
0.6521739130434783,0.860655737704918,14,0.6274165202108963,0.6086956521739131,
0.5217391304347826,0.7336065573770492,15,0.5026362038664324,0.6454849498327759,
0.0,0.31557377049180324,16,0.0,0.9364548494983278,
0.5652173913043478,0.7950819672131149,17,0.5448154657293498,0.6822742474916388,
1.0,0.9918032786885247,18,0.9630931458699473,0.5117056856187291,
0.8043478260869564,0.9262295081967213,19,0.7750439367311074,0.6187290969899666,
0.021739130434782622,0.3811475409836065,20,0.021089630931458714,1.0,
0.5869565217391305,0.6434426229508197,21,0.5641476274165202,0.5451505016722408,
0.28260869565217395,0.49180327868852447,22,0.2724077328646749,0.725752508361204,
0.7391304347826088,0.6680327868852458,23,0.7117750439367312,0.42140468227424754,
0.782608695652174,0.9057377049180328,24,0.7539543057996486,0.5451505016722408,
0.717391304347826,0.819672131147541,25,0.6906854130052725,0.5719063545150502,
0.6521739130434783,0.8073770491803278,26,0.6274165202108963,0.68561872909699,
0.5,0.42622950819672134,10,0.4815465729349737,0.4548494983277592,
0.6956521739130435,0.6721311475409837,0,0.6695957820738138,0.4581939799331104,
0.717391304347826,0.6434426229508197,1,0.6906854130052725,0.34448160535117056,
0.6956521739130435,0.7254098360655739,2,0.6695957820738138,0.47157190635451507,
0.6304347826086957,0.528688524590164,3,0.6063268892794377,0.4180602006688964,
0.6956521739130435,0.6598360655737705,4,0.6695957820738138,0.5016722408026756,
0.782608695652174,0.9467213114754098,5,0.7539543057996486,0.5351170568561873,
